numero;nom_fichier;chemin_complet;dossier;extension;largeur_px;hauteur_px
1;Animalier-01.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-01.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2200;1238
2;Animalier-02.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-02.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2200;1238
3;Animalier-03.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-03.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2200;1238
4;Animalier-04.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-04.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1351
5;Animalier-05.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-05.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1351
6;Animalier-06.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-06.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1600
7;Animalier-07.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-07.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1600
8;Animalier-08.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-08.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2200;1238
9;Animalier-09.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-09.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1351
10;Animalier-10.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-10.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1541
11;Animalier-11.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-11.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1351
12;Animalier-12.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-12.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1600
13;Animalier-13.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-13.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1351
14;Animalier-14.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-14.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;1237;2200
15;Animalier-15.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-15.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;1238;2200
16;Animalier-16.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-16.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2200;1238
17;Animalier-17.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-17.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2200;1238
18;Animalier-18.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-18.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2200;1238
19;Animalier-19.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-19.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2200;1238
20;Animalier-20.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier\Animalier-20.jpg;C:\Users\Gallien\Documents\GitHub\instant-gh\assets\photos\Animalier;.jpg;2400;1600
